Algoritmo,NumThreads,Tempo(ns),Tempo(ms)
Bubble Sort Serial,1,3502600,3
Counting Sort Serial,1,1827800,1
Merge Sort Serial,1,420900,0
Quick Sort Serial,1,251600,0
Bubble Sort Paralelo,1,1721300,1
Counting Sort Paralelo,1,5019000,5
Merge Sort Paralelo,1,142400,0
Quick Sort Paralelo,1,63300,0
Bubble Sort Paralelo,2,3331400,3
Counting Sort Paralelo,2,6521800,6
Merge Sort Paralelo,2,154800,0
Quick Sort Paralelo,2,411300,0
Bubble Sort Paralelo,4,1229700,1
Counting Sort Paralelo,4,6100500,6
Merge Sort Paralelo,4,130500,0
Quick Sort Paralelo,4,569500,0
Bubble Sort Paralelo,8,1819900,1
Counting Sort Paralelo,8,7448900,7
Merge Sort Paralelo,8,142700,0
Quick Sort Paralelo,8,1057400,1
Bubble Sort Paralelo,16,2764400,2
Counting Sort Paralelo,16,9287000,9
Merge Sort Paralelo,16,201900,0
Quick Sort Paralelo,16,1918800,1
