Algoritmo,NumThreads,Tempo(ns),Tempo(ms)
Bubble Sort Serial,1,90703100,90
Counting Sort Serial,1,777200,0
Merge Sort Serial,1,1380200,1
Quick Sort Serial,1,725400,0
Bubble Sort Paralelo,1,68928900,68
Counting Sort Paralelo,1,9239200,9
Merge Sort Paralelo,1,994100,0
Quick Sort Paralelo,1,594900,0
Bubble Sort Paralelo,2,35911900,35
Counting Sort Paralelo,2,10809100,10
Merge Sort Paralelo,2,1833800,1
Quick Sort Paralelo,2,857800,0
Bubble Sort Paralelo,4,34308100,34
Counting Sort Paralelo,4,10715000,10
Merge Sort Paralelo,4,1421300,1
Quick Sort Paralelo,4,1092500,1
Bubble Sort Paralelo,8,19530600,19
Counting Sort Paralelo,8,11441400,11
Merge Sort Paralelo,8,1348400,1
Quick Sort Paralelo,8,1117400,1
Bubble Sort Paralelo,16,18381700,18
Counting Sort Paralelo,16,11676300,11
Merge Sort Paralelo,16,1769200,1
Quick Sort Paralelo,16,1338300,1
