Algoritmo,NumThreads,Tempo(ns),Tempo(ms)
Bubble Sort Serial,1,452400,0
Counting Sort Serial,1,4297900,4
Merge Sort Serial,1,532100,0
Quick Sort Serial,1,427000,0
Bubble Sort Paralelo,1,5452300,5
Counting Sort Paralelo,1,14489100,14
Merge Sort Paralelo,1,730700,0
Quick Sort Paralelo,1,542800,0
Bubble Sort Paralelo,2,594900,0
Counting Sort Paralelo,2,17034000,17
Merge Sort Paralelo,2,82100,0
Quick Sort Paralelo,2,3246700,3
Bubble Sort Paralelo,4,628000,0
Counting Sort Paralelo,4,7836700,7
Merge Sort Paralelo,4,73400,0
Quick Sort Paralelo,4,500500,0
Bubble Sort Paralelo,8,734100,0
Counting Sort Paralelo,8,3985100,3
Merge Sort Paralelo,8,65300,0
Quick Sort Paralelo,8,2884800,2
Bubble Sort Paralelo,16,724500,0
Counting Sort Paralelo,16,3278500,3
Merge Sort Paralelo,16,84400,0
Quick Sort Paralelo,16,1113400,1
